NDC,Medication_Name,Strength,Form,Route,DEA_Class,Simple_Generic_1,Pharm_Class_1,Thera_Class_1
409146401,NALBUPHINE 10 MG/ML INJECTION,10 mg/mL,Solution,Injection,,nalbuphine HCl,OPIOID ANALGESICS,ANALGESICS
409146501,NALBUPHINE 20 MG/ML INJECTION SOLUTION,20 mg/mL,Solution,Injection,,nalbuphine HCl,OPIOID ANALGESICS,ANALGESICS
409146701,NALBUPHINE 20 MG/ML INJECTION SOLUTION,20 mg/mL,Solution,Injection,,nalbuphine HCl,OPIOID ANALGESICS,ANALGESICS
409162301,BUTORPHANOL TARTRATE 1 MG/ML INJECTION,1 mg/mL,Solution,Injection,C-IV,butorphanol tartrate,OPIOID ANALGESICS,ANALGESICS
409162601,BUTORPHANOL TARTRATE 2 MG/ML INJECTION,2 mg/mL,Solution,Injection,C-IV,butorphanol tartrate,OPIOID ANALGESICS,ANALGESICS
409162602,BUTORPHANOL TARTRATE 2 MG/ML INJECTION,2 mg/mL,Solution,Injection,C-IV,butorphanol tartrate,OPIOID ANALGESICS,ANALGESICS
409176230,MORPHINE 2 MG/ML INJECTION SYRINGE,2 mg/mL,Syringe,Injection,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
409189001,MORPHINE 2 MG/ML INTRAVENOUS SYRINGE,2 mg/mL,Syringe,IntraVENous,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
409189011,MORPHINE 2 MG/ML INTRAVENOUS SYRINGE,2 mg/mL,Syringe,IntraVENous,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
409189101,MORPHINE 4 MG/ML INTRAVENOUS SYRINGE,4 mg/mL,Syringe,IntraVENous,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
409189111,MORPHINE 4 MG/ML INTRAVENOUS SYRINGE,4 mg/mL,Syringe,IntraVENous,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
409189201,MORPHINE 8 MG/ML INTRAVENOUS SYRINGE,8 mg/mL,Syringe,IntraVENous,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
409189301,MORPHINE 10 MG/ML INTRAVENOUS SYRINGE,10 mg/mL,Syringe,IntraVENous,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
409189311,MORPHINE 10 MG/ML INTRAVENOUS SYRINGE,10 mg/mL,Syringe,IntraVENous,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
409201232,BUPRENORPHINE HCL 0.3 MG/ML INJECTION SYRINGE,0.3 mg/mL,Syringe,Injection,C-III,buprenorphine HCl,OPIOID ANALGESICS,ANALGESICS
409254001,HYDROMORPHONE 4 MG/ML INJECTION SOLUTION,4 mg/mL,Solution,Injection,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
409255201,HYDROMORPHONE 1 MG/ML INJECTION SOLUTION,1 mg/mL,Solution,Injection,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
409263401,HYDROMORPHONE (PF) 10 MG/ML INJECTION,10 mg/mL,Solution,Injection,C-II,hydromorphone HCl/PF,OPIOID ANALGESICS,ANALGESICS
409263405,HYDROMORPHONE (PF) 10 MG/ML INJECTION,10 mg/mL,Solution,Injection,C-II,hydromorphone HCl/PF,OPIOID ANALGESICS,ANALGESICS
409263450,HYDROMORPHONE (PF) 10 MG/ML INJECTION,10 mg/mL,Solution,Injection,C-II,hydromorphone HCl/PF,OPIOID ANALGESICS,ANALGESICS
409335601,HYDROMORPHONE 2 MG/ML INJECTION,2 mg/mL,Solution,Injection,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
409336501,HYDROMORPHONE 2 MG/ML INJECTION,2 mg/mL,Solution,Injection,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
409381512,MORPHINE (PF) 1 MG/ML INJECTION,1 mg/mL,Solution,Injection,C-II,morphine sulfate/PF,OPIOID ANALGESICS,ANALGESICS
409617714,MORPHINE 100 MG/4 ML INTRAVENOUS SOLUTION,100 mg/4 mL,Solution,IntraVENous,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
409909332,FENTANYL (PF) 50 MCG/ML INJECTION,,Solution,Injection,C-II,fentanyl citrate/PF,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",ANALGESICS
409909335,FENTANYL (PF) 50 MCG/ML INJECTION,,Solution,Injection,C-II,fentanyl citrate/PF,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",ANALGESICS
409909338,FENTANYL (PF) 50 MCG/ML INJECTION,,Solution,Injection,C-II,fentanyl citrate/PF,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",ANALGESICS
409909422,FENTANYL (PF) 50 MCG/ML INJECTION,,Solution,Injection,C-II,fentanyl citrate/PF,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",ANALGESICS
409909425,FENTANYL (PF) 50 MCG/ML INJECTION,,Solution,Injection,C-II,fentanyl citrate/PF,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",ANALGESICS
409909431,FENTANYL (PF) 50 MCG/ML INJECTION,,Solution,Injection,C-II,fentanyl citrate/PF,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",ANALGESICS
409909461,FENTANYL (PF) 50 MCG/ML INJECTION,,Solution,Injection,C-II,fentanyl citrate/PF,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",ANALGESICS
486077116,ZAMICET 10 MG-325 MG/15 ML ORAL SOLUTION,10-325 mg/15 mL,Solution,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
527131201,BUTALBITAL COMPOUND WITH CODEINE 30 MG-50 MG-325 MG-40 MG CAPSULE,30-50-325-40 mg,Capsule,Oral,C-III,codeine/butalbital/ASA/caffein,"OPIOID AND SALICYLATE ANALGESICS,BARBIT,XANTHINE",ANALGESICS
527135301,HYDROMORPHONE 2 MG TABLET,2 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
527135401,HYDROMORPHONE 4 MG TABLET,4 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
527135501,HYDROMORPHONE 8 MG TABLET,8 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
527142535,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
527142536,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
527142562,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
527142563,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
527142635,OXYCODONE 20 MG/ML ORAL CONCENTRATE,20 mg/mL,Concentrate,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
527142636,OXYCODONE 20 MG/ML ORAL CONCENTRATE,20 mg/mL,Concentrate,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
527169801,CODEINE SULFATE 30 MG TABLET,30 MG,Tablet,Oral,C-II,codeine sulfate,OPIOID ANALGESICS,ANALGESICS
527169901,CODEINE SULFATE 60 MG TABLET,60 MG,Tablet,Oral,C-II,codeine sulfate,OPIOID ANALGESICS,ANALGESICS
527172791,CODEINE SULFATE 15 MG TABLET,15 MG,Tablet,Oral,C-II,codeine sulfate,OPIOID ANALGESICS,ANALGESICS
527177401,OXYCODONE 5 MG CAPSULE,5 mg,Capsule,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
527190635,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
527190636,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
527190662,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
527190663,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
555038102,MEPERIDINE 50 MG TABLET,50 mg,Tablet,Oral,C-II,meperidine HCl,OPIOID ANALGESICS,ANALGESICS
555038202,MEPERIDINE 100 MG TABLET,100 MG,Tablet,Oral,C-II,meperidine HCl,OPIOID ANALGESICS,ANALGESICS
555039202,MEPERIDINE 100 MG TABLET,100 MG,Tablet,Oral,C-II,meperidine HCl,OPIOID ANALGESICS,ANALGESICS
555065802,OXYCODONE-ACETAMINOPHEN 5 MG-500 MG CAPSULE,5-500 mg,Capsule,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
574015312,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
574015330,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
574029301,"HYDROMORPHONE ER 8 MG TABLET,EXTENDED RELEASE 24 HR",8 mg,Tablet ER 24 hr,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
574029401,"HYDROMORPHONE ER 12 MG TABLET,EXTENDED RELEASE 24 HR",12 mg,Tablet ER 24 hr,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
574029501,"HYDROMORPHONE ER 16 MG TABLET,EXTENDED RELEASE 24 HR",16 mg,Tablet ER 24 hr,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
574704012,BELLADONNA ALKALOIDS-OPIUM 16.2 MG-60 MG RECTAL SUPPOSITORY,16.2-60 MG,Suppository,Rectal,C-II,opium/belladonna alkaloids,OPIOID ANALGESICS,ANALGESICS
574704512,BELLADONNA ALKALOIDS-OPIUM 16.2 MG-30 MG RECTAL SUPPOSITORY,16.2-30 mg,Suppository,Rectal,C-II,opium/belladonna alkaloids,OPIOID ANALGESICS,ANALGESICS
574711212,MORPHINE 10 MG RECTAL SUPPOSITORY,10 MG,Suppository,Rectal,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
574722406,HYDROMORPHONE 3 MG RECTAL SUPPOSITORY,3 mg,Suppository,Rectal,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
591034901,HYDROCODONE 5 MG-ACETAMINOPHEN 500 MG TABLET,5-500 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591034905,HYDROCODONE 5 MG-ACETAMINOPHEN 500 MG TABLET,5-500 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591038501,HYDROCODONE 7.5 MG-ACETAMINOPHEN 500 MG TABLET,7.5-500 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591038505,HYDROCODONE 7.5 MG-ACETAMINOPHEN 500 MG TABLET,7.5-500 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591038701,HYDROCODONE 7.5 MG-ACETAMINOPHEN 750 MG TABLET,7.5-750 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591038705,HYDROCODONE 7.5 MG-ACETAMINOPHEN 750 MG TABLET,7.5-750 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591038801,HYDROCODONE 2.5 MG-ACETAMINOPHEN 500 MG TABLET,2.5-500 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591039501,PENTAZOCINE-NALOXONE 50 MG-0.5 MG TABLET,50-0.5 mg,Tablet,Oral,C-IV,pentazocine HCl/naloxone HCl,OPIOID ANALGESICS,ANALGESICS
591039601,PENTAZOCINE-ACETAMINOPHEN 25 MG-650 MG TABLET,25-650 mg,Tablet,Oral,C-IV,pentazocine HCl/acetaminophen,OPIOID ANALGESICS,ANALGESICS
591050201,HYDROCODONE 7.5 MG-ACETAMINOPHEN 650 MG TABLET,7.5-650 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591050205,HYDROCODONE 7.5 MG-ACETAMINOPHEN 650 MG TABLET,7.5-650 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591050301,HYDROCODONE 10 MG-ACETAMINOPHEN 650 MG TABLET,10-650 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591050305,HYDROCODONE 10 MG-ACETAMINOPHEN 650 MG TABLET,10-650 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591051701,HYDROCODONE 10 MG-ACETAMINOPHEN 660 MG TABLET,10-660 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591054001,HYDROCODONE 10 MG-ACETAMINOPHEN 500 MG TABLET,10-500 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591054005,HYDROCODONE 10 MG-ACETAMINOPHEN 500 MG TABLET,10-500 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591073701,OXYCODONE-ACETAMINOPHEN 5 MG-500 MG CAPSULE,5-500 mg,Capsule,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591074901,OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET,5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591074905,OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET,5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591082401,OXYCODONE-ACETAMINOPHEN 7.5 MG-500 MG TABLET,7.5-500 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591082501,OXYCODONE-ACETAMINOPHEN 10 MG-650 MG TABLET,10-650 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591085301,HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET,10-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591085305,HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET,10-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591093201,OXYCODONE-ACETAMINOPHEN 10 MG-325 MG TABLET,10-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591093301,OXYCODONE-ACETAMINOPHEN 7.5 MG-325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591217101,HYDROCODONE 2.5 MG-ACETAMINOPHEN 325 MG TABLET,2.5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591217201,HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591217205,HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591217401,HYDROCODONE 5 MG-ACETAMINOPHEN 300 MG TABLET,5-300 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591217501,HYDROCODONE 7.5 MG-ACETAMINOPHEN 300 MG TABLET,7.5-300 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591217601,HYDROCODONE 10 MG-ACETAMINOPHEN 300 MG TABLET,10-300 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591260501,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591260505,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591260701,HYDROCODONE 10 MG-ACETAMINOPHEN 750 MG TABLET,10-750 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591260901,HYDROCODONE 10 MG-ACETAMINOPHEN 500 MG TABLET,10-500 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591260905,HYDROCODONE 10 MG-ACETAMINOPHEN 500 MG TABLET,10-500 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591261001,HYDROCODONE 10 MG-ACETAMINOPHEN 650 MG TABLET,10-650 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591261005,HYDROCODONE 10 MG-ACETAMINOPHEN 650 MG TABLET,10-650 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591261101,HYDROCODONE 7.5 MG-ACETAMINOPHEN 650 MG TABLET,7.5-650 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591261105,HYDROCODONE 7.5 MG-ACETAMINOPHEN 650 MG TABLET,7.5-650 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591261201,HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET,10-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591261205,HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET,10-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591264101,BUTALBITAL 50 MG-ACETAMINOPHEN 300 MG-CAFFEINE 40 MG-CODEINE 30 MG CAP,50-300-40-30 mg,Capsule,Oral,C-III,butalbit/acetamin/caff/codeine,"OPIOID,NON-SALICYL.ANALGESIC,BARBITURATE,XANTHINE",ANALGESICS
591269301,"OXYCODONE ER 40 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",40 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
591270801,"OXYCODONE ER 80 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",80 mg,"tablet,oral only,ER12 hr",Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
591319854,FENTANYL 25 MCG/HR TRANSDERM PATCH,25 mcg/hr patch,Patch 72 hr,Transdermal,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
591319872,FENTANYL 25 MCG/HR TRANSDERM PATCH,25 mcg/hr patch,Patch 72 hr,Transdermal,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
591320201,HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591320205,HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591320301,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591321254,FENTANYL 50 MCG/HR TRANSDERM PATCH,50 mcg/hr patch,Patch 72 hr,Transdermal,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
591321272,FENTANYL 50 MCG/HR TRANSDERM PATCH,50 mcg/hr patch,Patch 72 hr,Transdermal,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
591321354,FENTANYL 75 MCG/HR TRANSDERM PATCH,75 mcg/hr patch,Patch 72 hr,Transdermal,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
591321372,FENTANYL 75 MCG/HR TRANSDERM PATCH,75 mcg/hr patch,Patch 72 hr,Transdermal,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
591321454,FENTANYL 100 MCG/HR TRANSDERM PATCH,100 mcg/hr patch,Patch 72 hr,Transdermal,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
591321472,FENTANYL 100 MCG/HR TRANSDERM PATCH,100 mcg/hr patch,Patch 72 hr,Transdermal,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
591322001,BUTALBITAL 50 MG-ACETAMINOPHEN 325 MG-CAFFEINE 40 MG-CODEINE 30 MG CAP,50-325-40-30 mg,Capsule,Oral,C-III,butalbit/acetamin/caff/codeine,"OPIOID,NON-SALICYL.ANALGESIC,BARBITURATE,XANTHINE",ANALGESICS
591322801,HYDROCODONE 10 MG-ACETAMINOPHEN 750 MG TABLET,10-750 mg,Tablet,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
591345001,"MORPHINE ER 30 MG CAPSULE,EXTENDED RELEASE PELLETS",30 MG,"Capsule, ER Pellets",Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
591345301,"MORPHINE ER 100 MG CAPSULE,EXTENDED RELEASE PELLETS",100 MG,"Capsule, ER Pellets",Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
591354601,BUTALBITAL COMPOUND WITH CODEINE 30 MG-50 MG-325 MG-40 MG CAPSULE,30-50-325-40 mg,Capsule,Oral,C-III,codeine/butalbital/ASA/caffein,"OPIOID AND SALICYLATE ANALGESICS,BARBIT,XANTHINE",ANALGESICS
591354605,BUTALBITAL COMPOUND WITH CODEINE 30 MG-50 MG-325 MG-40 MG CAPSULE,30-50-325-40 mg,Capsule,Oral,C-III,codeine/butalbital/ASA/caffein,"OPIOID AND SALICYLATE ANALGESICS,BARBIT,XANTHINE",ANALGESICS
591355101,OXYCODONE-ASPIRIN 4.8355 MG-325 MG TABLET,4.8355-325 mg,Tablet,Oral,C-II,oxycodone HCl/aspirin,OPIOID ANALGESIC AND SALICYLATE ANALGESIC COMB,ANALGESICS
591360072,FENTANYL 25 MCG/HR TRANSDERM PATCH,25 mcg/hr patch,Patch 72 hr,Transdermal,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
591360172,FENTANYL 50 MCG/HR TRANSDERM PATCH,50 mcg/hr patch,Patch 72 hr,Transdermal,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
591360372,FENTANYL 100 MCG/HR TRANSDERM PATCH,100 mcg/hr patch,Patch 72 hr,Transdermal,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
591362901,"HYDROMORPHONE ER 8 MG TABLET,EXTENDED RELEASE 24 HR",8 mg,Tablet ER 24 hr,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
591363001,"HYDROMORPHONE ER 16 MG TABLET,EXTENDED RELEASE 24 HR",16 mg,Tablet ER 24 hr,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
591363101,"HYDROMORPHONE ER 32 MG TABLET,EXTENDED RELEASE 24 HR",32 mg,Tablet ER 24 hr,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
591373901,"HYDROMORPHONE ER 12 MG TABLET,EXTENDED RELEASE 24 HR",12 mg,Tablet ER 24 hr,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
603102058,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLN,120-12 mg/ 5ml,Solution,Oral,C-V,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
603129558,HYDROCODONE 7.5 MG-ACETAMINOPHEN 500 MG/15 ML ORAL SOLUTION,7.5-500 mg/15 mL,Solution,Oral,C-III,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
603233721,ACETAMINOPHEN 300 MG-CODEINE 15 MG TABLET,300-15 mg,Tablet,Oral,C-III,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
603233802,ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET,300-30 mg,Tablet,Oral,C-III,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
603233804,ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET,300-30 mg,Tablet,Oral,C-III,acetaminophen with codeine,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
